operation1,operation2,repetitions,random_generator,precision,decimal_use,percentage_correct
(x + y) + z,x + (y + z),1000,np.random.rand(),50,True,75.6
(x + y) + z,x + (y + z),1000,np.random.rand(),53,True,80.8
(x + y) + z,x + (y + z),1000,np.random.rand(),60,True,100.0
(x + y) + z,x + (y + z),1000,random.random(),50,True,75.1
(x + y) + z,x + (y + z),1000,random.random(),53,True,79.7
(x + y) + z,x + (y + z),1000,random.random(),60,True,100.0
(x + y) + z,x + (y + z),2000,np.random.rand(),50,True,74.85
(x + y) + z,x + (y + z),2000,np.random.rand(),53,True,79.6
(x + y) + z,x + (y + z),2000,np.random.rand(),60,True,100.0
(x + y) + z,x + (y + z),2000,random.random(),50,True,75.1
(x + y) + z,x + (y + z),2000,random.random(),53,True,80.1
(x + y) + z,x + (y + z),2000,random.random(),60,True,100.0
(x + y) + z,x + (y + z),5000,np.random.rand(),50,True,75.06
(x + y) + z,x + (y + z),5000,np.random.rand(),53,True,80.74
(x + y) + z,x + (y + z),5000,np.random.rand(),60,True,100.0
(x + y) + z,x + (y + z),5000,random.random(),50,True,74.4
(x + y) + z,x + (y + z),5000,random.random(),53,True,80.06
(x + y) + z,x + (y + z),5000,random.random(),60,True,100.0
(x * y) * z,x * (y * z),1000,np.random.rand(),105,True,84.9
(x * y) * z,x * (y * z),1000,np.random.rand(),110,True,100.0
(x * y) * z,x * (y * z),1000,random.random(),105,True,85.8
(x * y) * z,x * (y * z),1000,random.random(),110,True,100.0
(x * y) * z,x * (y * z),2000,np.random.rand(),105,True,84.65
(x * y) * z,x * (y * z),2000,np.random.rand(),110,True,100.0
(x * y) * z,x * (y * z),2000,random.random(),105,True,85.7
(x * y) * z,x * (y * z),2000,random.random(),110,True,100.0
(x * y) * z,x * (y * z),5000,np.random.rand(),105,True,85.78
(x * y) * z,x * (y * z),5000,np.random.rand(),110,True,100.0
(x * y) * z,x * (y * z),5000,random.random(),105,True,85.3
(x * y) * z,x * (y * z),5000,random.random(),110,True,100.0
(x + y) + z,x + (y + z),1000,np.random.rand(),0,False,83.4
(x + y) + z,x + (y + z),1000,random.random(),0,False,81.5
(x + y) + z,x + (y + z),2000,np.random.rand(),0,False,82.75
(x + y) + z,x + (y + z),2000,random.random(),0,False,81.8
(x + y) + z,x + (y + z),5000,np.random.rand(),0,False,83.44
(x + y) + z,x + (y + z),5000,random.random(),0,False,84.3
(x * y) * z,x * (y * z),1000,np.random.rand(),0,False,65.2
(x * y) * z,x * (y * z),1000,random.random(),0,False,67.0
(x * y) * z,x * (y * z),2000,np.random.rand(),0,False,66.55
(x * y) * z,x * (y * z),2000,random.random(),0,False,63.0
(x * y) * z,x * (y * z),5000,np.random.rand(),0,False,66.6
(x * y) * z,x * (y * z),5000,random.random(),0,False,64.78
